608_0 	ADC8VBKOVOCRR 	This essay is about the language of Bengali
608_1 	A3F9QBUALMKO1 	To know more about the Bengali script&#44; see this article.
608_2 	A3F9QBUALMKO1 	Bengali is an Indo-Aryan language of Bengal&#44; the region of eastern South Asia.
608_3 	A3F9QBUALMKO1 	Bengali language is evolved from Sanskrit&#44; Pali and Prakrit language.
608_4 	A3F9QBUALMKO1 	Bengali is the native language of Bengal which is situated in the region of eastern South Asia.
608_5 	A3F9QBUALMKO1 	Presently this region is politically made up with the independent country Bangladesh and the Indian state of West Bengal.
608_6 	ADC8VBKOVOCRR 	In addition to this&#44; the Rohingya tribe of northern Myanmar also speaks in Bengali.
608_7 	ADC8VBKOVOCRR 	Bengali&#44; the mother language of almost 20 crore&#44; is one of the most spoken languages in the world (its position is between 4th to 7th on the basis of speakers)
608_8 	A3F9QBUALMKO1 	Bengali is the first language of Bangladesh and the second most spoken language in India.
796_1 	A3F9QBUALMKO1 	Welcome to the Bengali version of Wikipedia.
796_2 	A1ZAA9FM3OEIK5 	Anyone can contribute to this encyclopedia.
796_3 	A3F9QBUALMKO1 	Work continues on these articles.
822_0 	A2HFASY1SVXPSP 	Bangladesh&#44; officially the People&#39;s Republic of Bangladesh&#44; is a country in South Asia.
822_1 	A3KUMU0O6YW08U 	In the year 1947&#44; when the British Colonial rule ends in the Indian sub-continent&#44;gave rise to another country named Pakistan.The Eastern part of this country got freedom in the year of 1971&#44; being tortured for several years&#44; they fought a bloody armed battle against Pakistani Military against inequality and at last emerged as an independent country.
822_2 	A2HFASY1SVXPSP 	After independence&#44; the new state endured famines&#44; natural disasters and widespread poverty&#44; as well as political turmoil and military coups.
822_3 	A2HFASY1SVXPSP 	The restoration of democracy in 1991 has been followed by relative calm and economic progress. Today&#44; Bangladesh is a secular&#44; democratic republic.
822_4 	A2HFASY1SVXPSP 	Bangladesh is the seventh most populous country
822_5 	A3KUMU0O6YW08U 	But in terms of total area&#44; Bangladesh is the 93rd country in the world&#44; therefore it is among the most densely populated countries in the world.
822_6 	A16IVTYAYSV3SA 	But in comparison with the figures of 1975&#44; the per capita GDP (inflation attached) of Bangladesh has bee doubled and the rate of poverty has also been lessened up to 20% in comparison with the figures of the first half of 1990.
822_7 	A2JPXAF2MC24F7 	Bangladesh has secured a place in the &#39;next eleven&#39; economies.
822_8 	A2JPXAF2MC24F7 	Renovation of the capital Dhaka and other cities acted as the driving force of such development.
822_9 	A2JPXAF2MC24F7 	Rapid development of an ambitious middle class is at the center of it.
867_0 	A2JPXAF2MC24F7 	Sheikh Mujibur Rahman (March17&#44; 1920 - August 15&#44; 1975) One of the important political leaders of Bangladesh&#44; pioneer in the establishment of Bangladesh from East Pakistan and is known as &#39;Father of the Nation&#39; in Bangladesh.
867_1 	ADC8VBKOVOCRR 	He was the president of the Awami League&#44; founded by  Maulana Abdul Hamid Khan Bhashani&#44; served as the first President of Bangladesh and later its Prime Minister.
867_2 	A2JPXAF2MC24F7 	He is popularly known as &#39;Sheikh Mujib&#39; and his title is &#39;Bangabandhu&#39;.
867_4 	A16IVTYAYSV3SA 	In the very beginning of his political career of the East Pakistan he was a student leader and at the same time he was holding higher rank in the Awami League.
867_5 	A16IVTYAYSV3SA 	His power of delivering adroit speech was the most essential quality in him.
867_6 	A2JPXAF2MC24F7 	As a supporter of socialism he created a movement against  neglect of the people of Bangladesh or East Pakistan.
867_7 	A2JPXAF2MC24F7 	His principal demand was greater provincial autonomy as a result of which he turned out to be a strong opponent of the military rule of Ayub Khan.
1099_0 	A2LG0SJYIUIRNC 	Dhaka is the capital of Bangladesh.
1099_1 	AAF85ZPWB65DY 	It is a very old city.
1099_2 	A2HFASY1SVXPSP 	Its existence even into the 7th century is well documented.
1099_3 	AAF85ZPWB65DY 	Dhaka was proclaimed the capital of Bengal under Mughal rule in the year 1608.
1099_4 	A2HFASY1SVXPSP 	Actually Dhaka began to expand and become famous from that time.
1099_5 	AAF85ZPWB65DY 	History behind the name.
1099_6 	A2HFASY1SVXPSP 	There is a huge difference in opinions about the history behind naming of Dhaka.
1099_7 	AAF85ZPWB65DY 	According to the legend&#44; Ballal Sen&#44; king of the sen dynasty&#44; was roaming at the shore of Buri Ganges; and found an idol of Hindu goddess&#44; Devi Durga.
1099_8 	A1JLK9H341BM2K 	King Ballal Sen&#44; to show his devotion&#44; constructed a temple in the name Goddess Durga.
1099_9 	A3PSUT241Y12MZ 	Since the idol of the goddess was found covered or hidden&#44;the King named the temple as Dhakeshwari temple.
1108_0 	A1D39ISETGHJB 	Asia is the largest and most populous continent in the world.
1108_1 	A2HFASY1SVXPSP 	It covers 8.6% of the Earth&#39;s total surface area (or 29.9% of its land area)
1108_2 	A22CAHRSXQX5H2 	More than 60% of worlds population lives in Asia.
1108_3 	A2HFASY1SVXPSP 	Asia is traditionally defined as the eastern part of the landmass of Eurasia
1108_4 	A2HFASY1SVXPSP 	The eastern and northern regions of Asia are traditionally defined as the part of Africa-Eurasia.
1108_5 	A2HFASY1SVXPSP 	The western portion of this region was occupied by Europe long ago.
1108_7 	A1D39ISETGHJB 	Asia is separated from Europe and Africa by these regions.
1108_8 	A2HFASY1SVXPSP 	Asia is bounded on the east by the Pacific Ocean&#44; on the south by the Indian Ocean and on the north by the Arctic Ocean
1108_9 	A2HFASY1SVXPSP 	Country and regions
1109_0 	A2HFASY1SVXPSP 	Europe is one of the world&#39;s seven continents.
1109_1 	A2HFASY1SVXPSP 	It comprises the westernmost peninsula of Eurasia.
1109_2 	A2JPXAF2MC24F7 	Europe has been separated from the Asian continent by the Ural mountain range&#44; the Ural river and the Caspian sea in the east&#44; the Caucasus mountain range&#44; the Kuma-Manych Depression and the Black sea in the south east.
1109_3 	A2HFASY1SVXPSP 	Europe is bordered by the Arctic Ocean to the north&#44; the Atlantic Ocean to the west and the Mediterranean Sea to the south
1109_4 	A2HFASY1SVXPSP 	The countries of Europe
1116_0 	AKZBNT298EBKI 	The Earth is the third planet from the sun considering distance and the largest natural planet in the solar system considering both diameter and mass.
1116_1 	A3F9QBUALMKO1 	Other names of this are Gaia&#44; Terra and world.
1116_2 	A16IVTYAYSV3SA 	So far as human knowledge is concerned&#44; this is the only planet in the universe where life sustains.
1116_3 	AKZBNT298EBKI 	In addition to human beings&#44; millions of other species live here.
1116_4 	A3F9QBUALMKO1 	It is known from scientific evidence that the planet was formed 4.54 billion years ago.
1116_5 	A3F9QBUALMKO1 	And life appeared on its surface and was created within a billion years.
1116_6 	A3F9QBUALMKO1 	Earth&#39;s biosphere has significantly altered the atmosphere and other abiotic conditions on the planet and different layers of planet were formed on this alteration.
1116_7 	A2LG0SJYIUIRNC 	Another name of Earth is Athor.
1116_8 	A16IVTYAYSV3SA 	The word &quot;Prithivi&quot; (the Earth) is the Sanskrit (the oldest language of India) language.
1135_0 	A2HFASY1SVXPSP 	India is a South Asian country.
1135_1 	A16IVTYAYSV3SA 	The official name of the country is Republic of India.
1135_2 	A16IVTYAYSV3SA 	According to its geographical area this country is the largest of the Asian countries and seventh largest in the world.
1135_3 	A2HFASY1SVXPSP 	India is the world&#39;s second most populous country which makes it the largest democratic country in the world.
1135_4 	A16IVTYAYSV3SA 	To the West of India there is Pakistan&#44; to the North-East there are China&#44; Nepal and Bhutan and to the East there are Bangladesh&#44; Myanmar and Malaysia
1135_5 	ADC8VBKOVOCRR 	Apart from that&#44; on Indian Ocean&#44; Sri Lanka&#44; Maldives&#44; Indonesia are some nearby island countries of India.
1135_6 	A16IVTYAYSV3SA 	The total length of the the coast line of India is 7517 (4671 miles) kilometers surrounded by the Indian Ocean in the South&#44; Arabian Sea in the West and by the Bay of Bengal in the East.
1135_7 	A2JPXAF2MC24F7 	From the ancient times India is well-known for its prosperity and cultural heritage.
1135_8 	A3F9QBUALMKO1 	The ancient Indus Valley Civilisation was established in this region.
1135_9 	A3F9QBUALMKO1 	Different vast empires were established here in different periods of history.
1136_0 	A2HFASY1SVXPSP 	Pakistan (Urdu: ) officially the Islamic Republic of Pakistan (Urdu:   ) is a country in South Asia.
1136_1 	A2OE1LT946KVM9 	The country is situated at the junction of Asia&#44; South West Asia and Mid Asia
1136_2 	A2OE1LT946KVM9 	Pakistan is a part of Indian Sub-continent
1136_3 	A2OE1LT946KVM9 	The country has a coastline of approximately thousand kilimeter
1136_4 	A16IVTYAYSV3SA 	To the South of it is the Arabian Sea
