54_0 	AVWWDENWU115I 	See Hindi&#39;s entrance door also:
54_2 	A9YS2FWO4UV7G 	It is most widely spoken language in the world&#44; next to Chinese.
54_3 	A2IKFQQ6A9JVIT 	Hindi and its variants are used in North and central india
54_4 	A9YS2FWO4UV7G 	More than 600million people in India and around the world can speak&#44; read and write Hindi.
54_5 	A2IKFQQ6A9JVIT 	Hindi is also spoken by most people in Fiji&#44;Mauritius&#44; Guyana&#44; Surinam and by some in Nepal.
54_7 	AA4XJ5YP5SLN2 	According to Scientist of Language - Hindi Language shal emerge as one of the important language in coming years
54_8 	AGUEWXL636ANK 	Origin of word &quot;Hindi&quot;
54_9 	AA4XJ5YP5SLN2 	It is considered that Hindi words  is derived from Sanskrit word- Sindu
59_0 	A3GI3466NOP5HJ 	the Republic of India&#44; is the largest country in South Asia.
59_2 	A3GI3466NOP5HJ 	India stretches across 2&#44;933 km from east to west.
59_3 	A112IE8PQYXT3Q 	Indian coastline is 7516.6 km long.
59_4 	A3GI3466NOP5HJ 	geographically&#44; India is the word&#39;s seventh largest country and is second highest in population.
59_5 	A3M58JENI5651B 	India is bordered by Pakistan to the West&#44; China&#44; Nepal and Bhutan in the North East&#44; and Bangladesh and Myanmar are situated in the East.
59_7 	A1DKOLR0AU5RPS 	Afghanistan is situated in the North-West border of  India.
59_8 	A3NOO9K3CY1YU5 	To its north is the Himalayan mountain range and to the south lies Indian Ocean.
59_9 	A1DKOLR0AU5RPS 	Bay of Bengal is situated in East and Arabian Sea   in West.
74_1 	A3RITO7R5N0CKJ 	It is even called the language of God or divine filled .
74_2 	A3NOO9K3CY1YU5 	It is one of world&#39;s most ancient written language
74_3 	A3NOO9K3CY1YU5 	Sanskrit belongs to the family Indo-European languages and is classified under Indo-arya sub-branch of Indo-Irani branch.
74_4 	A3NOO9K3CY1YU5 	It identifies more with Aadim-Indo-European language.
74_6 	AVWWDENWU115I 	In all these languages there is an influence of European and Romanian language|
74_7 	A1V6P1ZE6Q8YEW 	Almost all the religious writings about Hindu religion are written in Sanskrit
74_8 	A1V6P1ZE6Q8YEW 	Even today most of the Yagya and prayers are done in Sanskrit.
142_0 	A2GGFBEGFXJFRS 	Hindu religion is the most ancient religion in the world.
142_2 	A1O9BHBJKVI5PS 	On the basis of the number of followers it is the world&#39;s third largest religion&#44; on the basis of numbers most of its worshipers are in India and on the basis of percentage in Nepal.
142_3 	A1O9BHBJKVI5PS 	Even though many gods-goddesses are worshiped in it&#44; in reality it is a monotheistic religion.
142_4 	A2I5G6WIA0DNX3 	In Hindi&#44; this religion is also called Vedic Dharma or Universal Dharma.
142_5 	A1O9BHBJKVI5PS 	In Indonesia the formal name of this religion is &quot;Hindu Agam&quot;.
142_7 	A1O9BHBJKVI5PS 	Nepal was the only modern Hindu nation in the world (In the interim constitution after the democratic movement of Nepal no religion has been declared the national religion).
142_8 	A1O9BHBJKVI5PS 	The final decision about Nepal being a Hindu state or not will be made by the elected legislators from the election of the constitutional assembly.
54_10 	A3T5285F7WI9HT 	Sindhu river is called as Sind and based on this the land around this river is also known by this name.
54_12 	AA4XJ5YP5SLN2 	Later on more Iranis started coming to india and stayed here and lastly called Hind.
54_13 	A3T5285F7WI9HT 	Hindik is from Iranian word Hink.
54_14 	A3T5285F7WI9HT 	&#39;Hindika&#39; or English word &#39;India&#39; are derived from this word.
54_15 	A12J6U15W1MWZ 	Earliest usage of this sound in Hindi is derived from &#39;Japharnama&#39;(1424) of Sharfuddin Yahudi.
54_17 	A3T5285F7WI9HT 	Pronounced as &#39;S&#39; and &#39;H&#39;
54_18 	A2HYN509OGM53T 	For example the Sanskrit word &#39;Asure&#39; was spoken as &#39;Ahure&#39; there.
54_19 	AWWVSZ5LGJGS5 	After Afghanistan&#44; on this side of Sindhi River the whole part of Hindustan was named as Hind &#44; Hindus in the Ancient Persian Literature and any thing &#44; language&#44; sentiment was called as &quot;Hndiik&quot; in the form of &quot;Adjective&quot; which means &#39;Of Hindi&#39;.
54_20 	AWWVSZ5LGJGS5 	The word &#39; Hindiik&#39; derived from Arabi became Indike &#44; Indica in Greek&#44; Indiya in Latin and India in English.
54_22 	A3T5285F7WI9HT 	After coming to India&#44;Muslims used &#39;Zaban-e-Hindi&#39;&#44;&#39;Hindi Zaban&#39; or &#39;Hindi&#39; for languages spoken around Delhi-Agra.
54_23 	A2HYN509OGM53T 	Non-Muslim people of India&#44; called the form of language spoken in this area as &#39;Bhakha&#39; instead of the name &#39;Hindi&#39;.
54_25 	AWWVSZ5LGJGS5 	Philologist think that Hindi and Urdu are same.
54_27 	A9YS2FWO4UV7G 	Urdu is written in Persian script&#44; and there is a lot of influence of the Persian and Arabic languages on its vocabulary.
54_28 	A3IHCT015XNNJK 	Gramatically Urdu and Hindi are 100% similar&#44; but in some areas there are difference in source of vocabulary (as written above)
54_29 	A9YS2FWO4UV7G 	Some specific sounds from Persian and Arabic languages are adapted in Urdu and so there are also some grammatical related constructions adapted by Urdu.
54_30 	A9YS2FWO4UV7G 	In general&#44; Urdu can be considered as a special style of Hindi.
54_32 	A9YS2FWO4UV7G 	Hindi falls in the Indo-European family of languages.
54_33 	A9YS2FWO4UV7G 	It is classified as a part of Indo-Aryan subdivision of the Indo-Persian branch.
54_34 	A9YS2FWO4UV7G 	Indo-Aryan languages are those that have originated from the Sanskrit language.
54_35 	A9YS2FWO4UV7G 	Some other Indo-Aryan languages are Urdu&#44; Kashmiri&#44; Udiya&#44; Punjabi&#44; Roman&#44; Marathi and Nepali etc.
54_37 	A2JPXAF2MC24F7 	The time when degenerated form of Indian languages ended and   modern form thereof were born can be regarded as a turning point.
54_38 	A2JPXAF2MC24F7 	Hindi was developed from the degenerated forms of &#39;Shouraseni&#39; and &#39;Ardhamagadhi&#39;.
54_39 	A2JPXAF2MC24F7 	Around 1000 CE when degenerated forms of languages began to be used in literary parlance&#44; its independent form started to become apparent.
54_40 	A2JPXAF2MC24F7 	Later on these languages being developed came to be known as modern Indian Aryan languages.
54_42 	A2JPXAF2MC24F7 	In connection with degenerated language&#44; the term &#39;deshi&#39; meaning &#39;native&#39; is widely discussed.
54_43 	A2JPXAF2MC24F7 	Actually&#44; by the term &#39;deshi&#39;&#44; both the &#39;deshi words&#39; and the &#39;deshi  language&#39; are indicated.
54_44 	A2JPXAF2MC24F7 	The question is which language these native words belonged to.
54_45 	A2JPXAF2MC24F7 	The &#39;Nyashastra&#39; of Bharatmuni calls the words &#39;desshi&#39; &#39;that are different in form from &#39;tatsama&#39; and &#39;tatbhava&#39; form of SAnskrit&#39;.
54_47 	A1CWCJ8MKSQHPI 	Local dialects do not follow grammar&#44; but grammar has to understand local dialects.Prakrit grammar were formed on the basis on Sanskrit&#44; and Sanskrit was said to be a form of Prakrit.
54_48 	A112IE8PQYXT3Q 	So the words which could not be caught by those rules&#44; were called vernacular nouns.
54_52 	A1CWCJ8MKSQHPI 	If all these factors are studied&#44; then one can understand that-
54_53 	A1CWCJ8MKSQHPI 	1.Hindi is the most disciplined language in the world.
54_55 	A1CWCJ8MKSQHPI 	3. It is a language that can be easily adapted.
54_57 	A9YS2FWO4UV7G 	5. It truly is entitled to become the Universal language.
54_58 	A3T5285F7WI9HT 	6.Devanagari  script used for writing Hindi is highly scientific.
