787_0 	A15YKQU4TT7169 	Andhra pradesh is a state in india.
787_1 	A15YKQU4TT7169 	It has maharastra&#44;chatthisgarh and orissa states on north side bay of bengal on east side&#44;tamilnadu on south side&#44;karnataka on west side
787_3 	A2L7W4RVFS5ST1 	In this state important rivers are Godavari and Krishna.
787_4 	A1RAFJLFW2X2V6 	The andhra state was formed on october 1&#44;1953 with kurnool  as the state capital.
787_5 	A2L7W4RVFS5ST1 	On 1 November 1956 its capital has changed to Hyderabad.
787_6 	A1RAFJLFW2X2V6 	Andhra pradesh is in between 37&#39;.54&#39;altitudes and 46&#39;.46&#39;  longitudes.
787_9 	A1UX3BQYCDI1ZV 	The people from Andhra migrated to the South of Vindhya hills and came to be known as Aryas by mixing up with Dravidars; the B.C.
792_0 	AI5E50BGAUZH2 	Games - Software - Hardware - History - Internet
792_2 	A20TYKNP46IORG 	This is the picture of the computer.
792_3 	AI5E50BGAUZH2 	Computer is a machine that enables usage of information in many forms through various processes.
792_4 	A3QL2TAO2U5TM9 	Information can be in different forms: For example it can be in the form of letters&#44; numbers&#44; sounds&#44; and figures.
792_7 	AI5E50BGAUZH2 	It will be difficult to specify this equipment perfectly.
792_8 	AI5E50BGAUZH2 	Over time&#44; as computer has gone through many changes. It is difficult to specify a particular machine as a computer.
792_9 	AI5E50BGAUZH2 	Also as so-called computers were used for various purposes earlier&#44; it is difficult to say a machine that performs a particular task as a computer.
829_0 	A3T1KZYNIUW9IN 	Telugu mother statue-on one hand a filled decorated  pot&#44;another with rice corn with leafs - meant for happiness&#44; prosperity and for harvesting.
829_1 	AI1HQO6HZCVT7 	It is evident that &quot;telugu&quot; is used as symbol of language and nationality.
829_3 	AI1HQO6HZCVT7 	It stands world&#39;s 15th largest spoken language and India&#39;s second.
829_4 	A3T1KZYNIUW9IN 	As per the  2001 population census 74002856 people speak telugu language.
829_5 	A3T1KZYNIUW9IN 	Indian government in  october 31&#44;2008 included  and recognised it as ancient language along with sanskrit and tamil.
829_8 	AE9QK78PC9KRL 	It means&#44; Telugu does not belong to the languages of Indo Aryan category (or Bharat Aryan language category)&#44; but belongs to Dravidiyan group of languages such as Tamil&#44; Kannada&#44;Toda&#44; Tulu&#44; Brahya&#44; etc.
829_9 	AE9QK78PC9KRL 	Telugu is generated from original Dravidiyan language.
846_0 	A3J1PP96QX14U0 	Computer software&#44; or just software&#44; is the collection of computer programs and related data that provide the instructions telling a computer  what to do. We can also say software refers to one or more computer programs and data held in the storage of the computer for some purposes
846_1 	A3J1PP96QX14U0 	Program software performs the function  of the program  it implements&#44; either by directly providing instructions  to the computer hardware or by serving as input to another piece of software
846_3 	AMKGJUEEY6ZCH 	To do a task we have to write number of programs like this.
846_4 	A3J1PP96QX14U0 	The group of small programs is a called software
846_5 	AMKGJUEEY6ZCH 	Open office writer&#39;s screen shot
846_6 	AMKGJUEEY6ZCH 	The meaning of software often changes for each of the following in different situations.
846_8 	A2M3NIA5MQX8G3 	Microsoft world&#44; Adobe photo shop are some of the popular application software.
846_9 	A3J1PP96QX14U0 	Firm ware - Devices containing firmware range from end-user products such as remote controls or calculators&#44; through computer parts and devices like hard disks&#44; keyboards&#44; screens or memory cards&#44; all the way to scientific instrumentation.
1119_0 	ADMENGADDLNDK 	After Ganga and Sindhu&#44; Godavari is the biggest river in India.
1119_1 	AI5E50BGAUZH2 	It originates near Trayambakam near Nashik in Maharashtra&#44; 80 kilometres away from the Arabian Sea&#44; It flows through Sounth-central part of India before entering into Andhra Pradesh.
1119_3 	A1Z53763UXALP 	There are many holy places and cities on the banks of this river/
1119_4 	A1Z53763UXALP 	Badrachalam and Rajamundry are examples.
1119_5 	AI5E50BGAUZH2 	Grand Godavari (Gowthami) gets divided into seven branches at Dhavaleswaram.
1119_6 	A1Z53763UXALP 	They are Gauthami&#44; Vasistha&#44; Vainatheya&#44; Bhardvaja&#44; Tulyabaga and Kasyapa.
1119_8 	ADMENGADDLNDK 	The remaining are concealed.
1119_9 	ADMENGADDLNDK 	These channels are named after the Seven sages.
1149_0 	A1GEUMI28IQ2PS 	An operating system consists of many parts. One of the most important components is the kernel&#44; which controls low-level processes that the average user usually cannot see: it controls how memory is read and written&#44; the order in which processes are executed&#44; how information is received and sent by devices like the monitor&#44; keyboard and mouse&#44; and deciding how to interpret information received by networks. The user interface is a component that interacts with the computer user directly&#44; allowing them to control and use programs. The user interface may be graphical with icons and a desktop&#44; or textual&#44; with a command line. Application programming interfaces provide services and code libraries that let applications developers write modular code reusing well defined programming sequences in user space libraries or in the operating system itself. Which features are considered part of the operating system is defined differently in various operating systems. For example&#44; Microsoft Windows considers its user interface to be part of the operating system&#44; while many versions of Linux do not.
1149_1 	A1GEUMI28IQ2PS 	In the early 1950s&#44; a computer could execute only one program at a time. Each user had sole use of the computer and would arrive at a scheduled time with program and data on punched paper cards and tape. The program would be loaded into the machine&#44; and the machine would be set to work until the program completed or crashed. Programs could generally be debugged via a front panel using toggle switches and panel lights. It is said that Alan Turing was a master of this on the early Manchester Mark 1 machine&#44; and he was already deriving the primitive conception of an operating system from the principles of the Universal Turing machine.[citation needed]  Later machines came with libraries of software&#44; which would be linked to a user&#39;s program to assist in operations such as input and output and generating computer code from human-readable symbolic code. This was the genesis of the modern-day operating system. However&#44; machines still ran a single job at a time. At Cambridge University in England the job queue was at one time a washing line from which tapes were hung with different colored clothes-pegs to indicate job-priority.
1149_2 	A15YKQU4TT7169 	The user interface may be graphical with icons and a desktop&#44; or textual&#44; with a command line. Application programming interfaces provide services and code libraries that let applications developers write modular code reusing well defined programming sequences in user space libraries or in the operating system itself. Which features are considered part of the operating system is defined differently in various operating systems. For example&#44; Microsoft Windows considers its user interface to be part of the operating system&#44; while many versions of Linux do not.
1149_3 	A15YKQU4TT7169 	For hardware functions such as input and output and memory allocation&#44; the operating system acts as an intermediary between application programs and the computer hardware&#44;[1][2] although the application code is usually executed directly by the hardware&#44; but will frequently call the OS or be interrupted by it. Operating systems are found on almost any device that contains a computerfrom cellular phones and video game consoles to supercomputers and web servers.
1149_5 	A1GEUMI28IQ2PS 	Most of the modern computer systems support graphical user interfaces (GUI)&#44; and often include them. In some computer systems&#44; such as the original implementations of Microsoft Windows and the Mac OS&#44; the GUI is integrated into the kernel.  While technically a graphical user interface is not an operating system service&#44; incorporating support for one into the operating system kernel can allow the GUI to be more responsive by reducing the number of context switches required for the GUI to perform its output functions. Other operating systems are modular&#44; separating the graphics subsystem from the kernel and the Operating System. In the 1980s UNIX&#44; VMS and many others had operating systems that were built this way. GNU/Linux and Mac OS X are also built this way. Modern releases of Microsoft Windows such as Windows Vista implement a graphics subsystem that is mostly in user-space&#44; however versions between Windows NT 4.0 and Windows Server 2003&#39;s graphics drawing routines exist mostly in kernel space. Windows 9x had very little distinction between the interface and the kernel.
